cell_family,chemistry_type,pulse_direction,abs_c_rate,pulse_timepoint,arrhenius_r_squared,arrhenius_activation_energy_mev,vtf_r_squared,vtf_b_k,vtf_t0_k,aic_arrhenius,aic_vtf,delta_aic_vtf_minus_arrhenius,aicc_arrhenius,aicc_vtf,vtf_fits_at_least_as_well,forms_indistinguishable
SIB,sodium-ion,discharge,2.0,fast,0.9982621862525428,272.7728581883502,0.9982621862525428,3165.3975759670498,0.0,-32.64643450234649,-30.646434502346402,2.0000000000000853,-8.646434502346487,,True,False
LFP,lithium-ion,discharge,3.0,100ms,0.9980665629370796,207.18766673098202,0.9980665629370798,2404.3130331818647,0.0,-34.9087937584427,-32.908793758443316,1.9999999999993818,-10.908793758442698,,True,True
LTO,lithium-ion,discharge,3.0,100ms,0.9460485575331228,74.85566870751236,0.9981634585972914,17.84304077607467,252.07179974266825,-28.22677154150429,-43.12777303187449,-14.901001490370199,-4.2267715415042915,,True,False
NMC,lithium-ion,discharge,3.0,100ms,0.9823759565024475,209.24665999719127,0.9977823944020847,145.28189712840583,223.3502511210634,-23.627924201160255,-31.99210431746304,-8.364180116302784,0.3720757988397452,,True,False
SIB,sodium-ion,discharge,3.0,100ms,0.9982417927523748,283.54951223338327,0.9987419721257441,1357.1061045096553,106.23701053532332,-32.20543201271002,-31.87917883762173,0.32625317508829,-8.20543201271002,,True,True
LFP,lithium-ion,discharge,3.0,10s,0.9988882567692624,188.40614193236257,0.9988882567692624,2186.362488302272,0.0,-38.63000881864751,-36.630008818647724,1.9999999999997868,-14.63000881864751,,True,True
LTO,lithium-ion,discharge,3.0,10s,0.937310130112227,79.680231965847,0.9997596798941458,15.352364041746927,255.96313112806106,-26.805199074222443,-52.62511577288327,-25.819916698660826,-2.8051990742224433,,True,False
NMC,lithium-ion,discharge,3.0,10s,0.9917283756514934,188.6878329095296,0.9997595998442881,204.37970518336877,205.6377553841899,-28.491663684363182,-44.18307034897107,-15.69140666460789,-4.491663684363182,,True,False
SIB,sodium-ion,discharge,3.0,10s,0.9953750021917734,256.2158130701007,0.9986222792540563,510.5725950830151,173.60682209430885,-28.368812523974483,-32.424039507586556,-4.055226983612073,-4.3688125239744835,,True,False
LFP,lithium-ion,discharge,3.0,1s,0.9984095624942131,211.28254832830697,0.9984095624942131,2451.832160884425,0.0,-35.6912490486101,-33.69124904861013,1.9999999999999716,-11.691249048610104,,True,True
LTO,lithium-ion,discharge,3.0,1s,0.9369776214615076,77.18528943582126,0.9998876906653421,14.875242539202235,255.96313112806106,-27.09510134840724,-56.74504223039125,-29.64994088198401,-3.0951013484072405,,True,False
